uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
SP;350630;BERNARDINO DE CAMPOS;319;128668;428;230006;543;282021.00;522;301469;365;319294.00;379;301961.00;430;330574.00
MA;210193;BERNARDO DO MEARIM;274;223772;472;288174;776;554333.00;786;696609;778;846898.00;922;962341.00;925;1125636.00
TO;170320;BERNARDO SAYÃO;376;195399;488;324655;583;420300.00;531;462063;495;508544.00;565;626007.00;563;652851.00
SP;350635;BERTIOGA;819;335293;910;633497;950;679300.00;912;732120;913;844818.00;1790;1398029.00;1954;1894910.00
PI;220170;BERTOLÍNIA;496;352885;530;415407;578;457588.00;594;503545;730;711434.00;808;857962.00;889;1026257.00
MG;310660;BERTÓPOLIS;413;286415;567;385046;584;467549.00;605;530651;597;628906.00;559;683636.00;670;789573.00
AM;130063;BERURI;431;297933;612;432253;1155;873373.00;1192;1172099;1125;1450694.00;1530;1813786.00;1720;2503056.00
PE;260180;BETÂNIA;1337;633956;1644;1195482;1715;1430913.00;1901;1667979;1901;2000932.00;1907;2201047.00;2116;2552069.00
PI;220173;BETÂNIA DO PIAUÍ;774;417404;1052;713194;1191;963721.00;1218;1118579;1250;1300188.00;1255;1432725.00;1263;1516746.00
MG;310670;BETIM;9977;5002633;16838;8075072;18340;12462025.00;17159;13420594;14785;14513345.00;17089;15364338.00;16433;18657115.00
PE;260190;BEZERROS;4444;2838331;5152;3747316;6294;4343820.00;8061;5917597;8967;8509896.00;9671;10205586.00;10816;11107187.00
MG;310680;BIAS FORTES;104;30212;263;126613;360;249039.00;460;302145;457;437174.00;451;494270.00;449;478467.00
MG;310690;BICAS;270;98403;621;310729;703;466738.00;663;531160;569;547286.00;764;661939.00;850;890899.00
SC;420230;BIGUAÇU;855;427151;1029;657026;1020;690950.00;1025;814190;893;956482.00;1749;1444645.00;1680;1950496.00
SP;350640;BILAC;70;35435;217;72760;206;95116.00;245;129013;246;178134.00;255;219491.00;259;272100.00
MG;310700;BIQUINHAS;157;24862;232;125442;219;169179.00;204;129658;179;136666.00;183;149290.00;164;154415.00
SP;350650;BIRIGUI;1920;638299;2464;1222259;2964;1640681.00;2804;1655577;2422;1712474.00;2994;1931002.00;2708;2098920.00
SP;350660;BIRITIBA-MIRIM;1032;507825;1131;735981;1215;811794.00;1207;811720;1010;922266.00;1290;1045823.00;1535;1361823.00
BA;290360;BIRITINGA;1414;1140658;1913;1366480;2189;1817556.00;2153;2004431;2115;2316757.00;2210;2608654.00;2251;2854934.00
PR;410290;BITURUNA;673;351895;1058;643371;1032;839027.00;1045;899058;955;977496.00;1160;1084126.00;1195;1289136.00
SC;420240;BLUMENAU;1648;903488;1658;1138819;2530;1289105.00;2790;1855593;2485;2328864.00;3141;2931923.00;2714;2997194.00
MG;310710;BOA ESPERANÇA;1280;728295;1753;1103529;2113;1436555.00;2131;1699057;2015;2025874.00;2407;2426826.00;2785;3212993.00
ES;320100;BOA ESPERANÇA;558;339879;782;510587;1347;904545.00;1538;1313624;1383;1577248.00;1438;1625521.00;1411;1645309.00
PR;410300;BOA ESPERANÇA;354;132546;460;252918;465;285168.00;405;309454;356;329362.00;274;298698.00;278;301591.00
PR;410302;BOA ESPERANÇA DO IGUAÇU;124;38745;212;127462;221;165554.00;198;196748;156;165292.00;159;172419.00;178;191997.00
SP;350670;BOA ESPERANÇA DO SUL;289;62914;321;192801;769;363403.00;747;472458;568;525434.00;744;644483.00;828;831380.00
PI;220177;BOA HORA;505;457535;575;444462;687;535287.00;683;610627;666;705434.00;945;926693.00;1063;1212021.00
BA;290370;BOA NOVA;2169;1414721;2364;1932849;2527;1991487.00;2600;2281941;2678;2881556.00;2880;3246623.00;2711;3354371.00
PB;250210;BOA VENTURA;612;507720;772;560440;933;711007.00;897;816056;851;918958.00;792;935940.00;931;1098322.00
PR;410304;BOA VENTURA DE SÃO ROQUE;528;440098;546;434771;533;432424.00;483;457705;441;460650.00;711;573542.00;613;727593.00
CE;230240;BOA VIAGEM;5667;4232088;7599;5483806;8366;6835636.00;8452;7476351;8495;8979696.00;7840;9518327.00;8769;10859872.00
RR;140010;BOA VISTA;10905;5767392;12700;9323355;19136;13935962.00;16343;14988882;16473;17929055.00;21174;24183648.00;21481;28004716.00
PB;250215;BOA VISTA;460;296161;498;394608;577;396557.00;552;458556;528;523512.00;614;580011.00;642;708589.00
PR;410305;BOA VISTA DA APARECIDA;430;223068;741;399521;791;511350.00;755;591666;695;687280.00;719;754752.00;783;908197.00
RS;430215;BOA VISTA DAS MISSÕES;65;42684;120;65411;125;97700.00;115;99512;113;109770.00;157;130730.00;122;143495.00
RS;430220;BOA VISTA DO BURICÁ;101;51762;109;64182;131;76886.00;137;84579;108;97400.00;103;94057.00;110;95020.00
RS;430222;BOA VISTA DO CADEADO;27;22652;119;45372;124;85421.00;111;86132;110;99992.00;106;99013.00;96;93987.00
MA;210197;BOA VISTA DO GURUPI;481;348666;547;443855;657;586407.00;627;616942;630;730288.00;1040;1060338.00;1158;1425394.00
RS;430223;BOA VISTA DO INCRA;17;9504;109;28366;110;78323.00;107;99629;96;110056.00;128;132462.00;141;159988.00
AM;130068;BOA VISTA DO RAMOS;906;741729;955;856393;1330;1075288.00;1286;1315754;1224;1488858.00;1379;1688698.00;1557;2197197.00
RS;430225;BOA VISTA DO SUL;45;9566;42;17889;47;20729.00;31;19963;23;17218.00;13;14522.00;17;14948.00
BA;290380;BOA VISTA DO TUPIM;1987;991124;2670;1970001;3110;2603862.00;3037;2892621;3015;3395691.00;3035;3712012.00;2986;3838057.00
AL;270100;BOCA DA MATA;1546;1133361;1680;1352719;2382;1518279.00;2309;1916733;3184;2727198.00;3764;3561219.00;3978;4539503.00
AM;130070;BOCA DO ACRE;1436;535025;1918;1537438;1993;1741669.00;3042;2657891;3149;3573692.00;3504;4228768.00;3733;5095317.00
PI;220180;BOCAINA;633;386317;613;534252;766;576427.00;757;661689;723;740824.00;738;785075.00;705;807547.00
SP;350680;BOCAINA;125;57030;149;89927;376;187437.00;325;233576;289;263038.00;461;347571.00;444;421924.00
MG;310720;BOCAINA DE MINAS;346;177299;376;246625;425;259111.00;390;261804;351;287102.00;376;302899.00;413;358883.00
SC;420243;BOCAINA DO SUL;88;59912;99;71526;164;88722.00;187;108128;163;131466.00;184;154529.00;205;180331.00
MG;310730;BOCAIÚVA;1730;1241814;3146;1905678;3906;2744036.00;3637;3127319;3437;3570073.00;3926;4021687.00;4357;4947997.00
PR;410310;BOCAIÚVA DO SUL;386;203250;669;325289;638;407955.00;664;474101;401;484047.00;850;634479.00;859;814191.00
RN;240165;BODÓ;355;215838;383;315053;475;359704.00;437;376993;397;423692.00;428;494979.00;476;589678.00
PE;260200;BODOCÓ;2853;2389795;4108;2761881;5234;3959705.00;5235;4779882;4912;5455304.00;5390;6037497.00;5335;6829773.00
MS;500215;BODOQUENA;83;74670;488;221468;585;363828.00;582;444233;552;547146.00;730;699294.00;793;903431.00
SP;350690;BOFETE;150;31143;131;97057;236;102823.00;318;175535;362;260056.00;413;351025.00;406;380863.00
SP;350700;BOITUVA;825;454729;964;614196;893;600914.00;967;696879;903;812504.00;1121;1025025.00;1449;1406340.00
SC;420245;BOMBINHAS;132;48380;166;85033;181;90787.00;138;89374;143;90932.00;196;129222.00;212;178970.00
PE;260210;BOM CONSELHO;3513;2375571;4684;3635901;6008;4573698.00;6037;5526225;5804;6402595.00;6486;7590938.00;6545;8122319.00
MG;310740;BOM DESPACHO;1216;391326;1662;967268;1806;955739.00;1684;914295;1710;1154698.00;1809;1329552.00;2066;1636894.00
PE;260220;BOM JARDIM;2260;1875605;3109;2015414;5213;3319631.00;6140;5061098;6033;6262845.00;6085;6902748.00;6112;7441658.00
RJ;330050;BOM JARDIM;656;200410;1220;685548;1388;885081.00;1255;915755;844;912100.00;1245;1061007.00;1296;1165608.00
MA;210200;BOM JARDIM;2553;1882103;3386;2406866;4832;3389127.00;5107;4751514;5527;5858738.00;5155;6572796.00;5716;7402673.00
SC;420250;BOM JARDIM DA SERRA;59;15847;286;75998;278;159476.00;302;208662;252;221368.00;257;255962.00;294;316536.00
GO;520340;BOM JARDIM DE GOIÁS;304;169215;328;242810;378;254296.00;418;296052;663;622990.00;823;901302.00;824;1005275.00
MG;310750;BOM JARDIM DE MINAS;582;191416;626;438838;636;462639.00;592;467493;667;568924.00;652;640307.00;678;711076.00
RN;240170;BOM JESUS;848;593150;1033;725849;1076;821906.00;1226;1039159;1153;1228482.00;1216;1368665.00;1217;1504750.00
RS;430230;BOM JESUS;491;272653;817;473772;862;536114.00;831;538608;753;630038.00;947;789363.00;1068;1127301.00
PB;250220;BOM JESUS;214;187546;221;188262;321;235546.00;334;276784;327;320144.00;314;338989.00;383;449959.00
PI;220190;BOM JESUS;1529;1172635;1637;1350309;2080;1620476.00;2099;1883827;2039;2219222.00;2295;2491248.00;2277;2878772.00
SC;420253;BOM JESUS;95;50719;127;78370;147;110530.00;146;125094;121;126528.00;163;163135.00;180;227389.00
BA;290390;BOM JESUS DA LAPA;5258;4057022;5431;4358765;7040;5476859.00;7429;6638655;6803;7538265.00;8326;8389584.00;8687;10807564.00
MG;310760;BOM JESUS DA PENHA;227;44096;247;121884;262;140090.00;245;160517;225;173758.00;211;157595.00;217;160180.00
BA;290395;BOM JESUS DA SERRA;1116;722437;1335;1012903;1488;1211037.00;1418;1307119;1432;1536479.00;1351;1588986.00;1536;1824948.00
MA;210203;BOM JESUS DAS SELVAS;1313;636363;1985;1367218;2573;2087311.00;2561;2529997;2458;2976602.00;3608;3803310.00;3896;5283988.00
GO;520350;BOM JESUS DE GOIÁS;390;153660;599;295828;1117;527869.00;1018;651599;970;750434.00;1239;942651.00;1161;1044322.00
MG;310770;BOM JESUS DO AMPARO;275;118720;357;228562;401;272718.00;393;276713;361;321618.00;379;320310.00;365;330406.00
MT;510185;BOM JESUS DO ARAGUAIA;93;78812;248;118370;304;194074.00;321;231728;296;261478.00;481;359693.00;492;517569.00
MG;310780;BOM JESUS DO GALHO;782;469949;1351;806928;1504;1157113.00;1472;1225785;1528;1464196.00;1856;1755875.00;2007;2364454.00
